step,walltime,_timestamp,train/loss/height
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,0.051257950947448304
18496,2025-05-08 08:55:24.519916057,1746694524.519916,0.007853747069707756
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,0.005238100779177534
32672,2025-05-08 08:59:19.287846088,1746694759.287846,0.0036318835880664304
39872,2025-05-08 09:01:25.668124914,1746694885.668125,0.002861477851531365
46688,2025-05-08 09:03:16.235276937,1746694996.235277,0.00235932114716628
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,0.002049382582832738
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,0.001843650509585165
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,0.001761474810138514
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,0.0016863105720969745
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,0.0015381408396393558
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,0.001468913500139024
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,0.001371650274394955
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,0.0013186267243113935
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,0.001261345382226864
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,0.0012087937964245553
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,0.0011448842188757327
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,0.0011098781207755533
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,0.0010889385247022055
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,0.0010559512491895337
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,0.0010276966768203216
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,0.0009962882036704506
167840,2025-05-08 09:37:21.281805038,1746697041.281805,0.0009602453555722087
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,0.0009308043785416015
182592,2025-05-08 09:41:27.146132946,1746697287.146133,0.0009187635150423083
189600,2025-05-08 09:43:21.007849932,1746697401.00785,0.000893689953240584
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,0.0008676111533039943
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,0.0008484742534540459
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,0.0008367025619557008
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,0.0008228364280952797
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,0.000806023085825542
232768,2025-05-08 09:55:22.428510904,1746698122.428511,0.0007929000532830185
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,0.0007712760829361224
247424,2025-05-08 09:59:26.165159941,1746698366.16516,0.0007634054426674575
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,0.000748436924833287
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,0.0007374671788064674
269152,2025-05-08 10:05:23.836585999,1746698723.836586,0.0007224934815733124
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,0.0007170597647975593
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,0.0007095121218639026
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,0.0006853652807563024
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,0.0006774637159780062
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,0.0006754693646018558
311936,2025-05-08 10:17:27.152903080,1746699447.152903,0.0006697853353936325
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,0.0006564276690841917
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,0.0006484389379939551
332448,2025-05-08 10:23:26.357064962,1746699806.357065,0.0006515419954070478
339872,2025-05-08 10:25:36.821751118,1746699936.821751,0.0006354052386619703
346656,2025-05-08 10:27:32.782682896,1746700052.782683,0.0006343545408114705
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,0.0006170532640812595
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,0.0006169006374532021
368288,2025-05-08 10:33:27.953658104,1746700407.953658,0.0006041609030232749
375680,2025-05-08 10:35:33.375169992,1746700533.37517,0.000597023057652581
382656,2025-05-08 10:37:29.172171116,1746700649.172171,0.0005824487678833608
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,0.0005788030698528493
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,0.0005719790591764549
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,0.0005713034860447775
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,0.000560899618034859
419136,2025-05-08 10:47:37.662892103,1746701257.662892,0.0005495771163552561
425984,2025-05-08 10:49:28.951423883,1746701368.951424,0.000534655711009827
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,0.0005328548030731295
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,0.000523352315035164
447616,2025-05-08 10:55:29.875992060,1746701729.875992,0.0005180710731941683
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,0.0005124687081426036
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,0.0005081520711097586
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,0.0005018297393390636
476352,2025-05-08 11:03:30.912544966,1746702210.912545,0.000488448515737451
483776,2025-05-08 11:05:37.837658882,1746702337.837659,0.0004879815594292801
490720,2025-05-08 11:07:32.807611942,1746702452.807612,0.0004819294822754763
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,0.00048040594531061206
